Date,Asset_1,Asset_2,Asset_3,Asset_4,Asset_5
2023-01-03,0.0012,-0.0008,0.0015,-0.0010,0.0005
2023-01-04,-0.0015,0.0020,-0.0012,0.0018,-0.0007
2023-01-05,0.0008,-0.0015,0.0010,-0.0005,0.0012
2023-01-06,-0.0010,0.0012,-0.0008,0.0015,-0.0003
2023-01-09,0.0018,-0.0007,0.0022,-0.0012,0.0008
2023-01-10,-0.0005,0.0015,-0.0018,0.0020,-0.0010
2023-01-11,0.0025,-0.0012,0.0008,-0.0015,0.0018
2023-01-12,-0.0008,0.0018,-0.0015,0.0012,-0.0005
2023-01-13,0.0015,-0.0010,0.0020,-0.0008,0.0012
2023-01-16,-0.0012,0.0022,-0.0007,0.0015,-0.0018
